Pixel Name,Device,Platform,Date,Users,Pixel Firings,Day
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,01-Apr-16,28,33,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,02-Apr-16,23,31,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,03-Apr-16,24,31,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,04-Apr-16,20,40,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,05-Apr-16,13,16,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,06-Apr-16,9,10,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,07-Apr-16,38,46,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,08-Apr-16,20,21,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,09-Apr-16,27,29,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,10-Apr-16,25,31,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,11-Apr-16,23,31,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,12-Apr-16,24,24,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,13-Apr-16,25,25,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,14-Apr-16,23,27,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,15-Apr-16,18,20,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,16-Apr-16,22,24,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,17-Apr-16,26,33,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,18-Apr-16,20,24,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,19-Apr-16,16,19,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,20-Apr-16,16,23,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,21-Apr-16,149,182,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,22-Apr-16,117,133,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,23-Apr-16,53,66,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,24-Apr-16,45,55,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,25-Apr-16,189,214,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,26-Apr-16,65,71,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,27-Apr-16,62,72,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,28-Apr-16,35,38,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,29-Apr-16,25,27,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,30-Apr-16,36,41,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,01-May-16,41,44,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,02-May-16,47,51,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,03-May-16,26,28,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,04-May-16,43,49,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,05-May-16,39,45,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,07-May-16,26,26,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,08-May-16,19,19,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,09-May-16,23,31,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,10-May-16,17,17,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,11-May-16,33,34,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,12-May-16,36,39,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,13-May-16,34,41,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,14-May-16,58,67,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,15-May-16,56,75,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,16-May-16,44,50,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,17-May-16,43,59,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,18-May-16,40,46,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,19-May-16,40,48,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,20-May-16,47,58,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,21-May-16,46,55,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,22-May-16,49,58,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,23-May-16,36,43,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,24-May-16,37,43,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,25-May-16,26,30,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,26-May-16,29,32,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,27-May-16,32,45,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,28-May-16,46,52,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,29-May-16,55,65,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,30-May-16,44,51,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,31-May-16,47,52,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,01-Jun-16,40,49,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,02-Jun-16,73,79,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,03-Jun-16,83,117,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,04-Jun-16,78,91,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,05-Jun-16,67,80,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,06-Jun-16,50,57,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,07-Jun-16,39,43,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,08-Jun-16,65,84,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,09-Jun-16,65,70,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,10-Jun-16,48,53,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,11-Jun-16,89,98,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,12-Jun-16,53,63,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,13-Jun-16,49,57,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,14-Jun-16,36,45,Tuesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,15-Jun-16,51,54,Wednesday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,16-Jun-16,57,66,Thursday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,17-Jun-16,64,76,Friday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,18-Jun-16,73,77,Saturday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,19-Jun-16,61,76,Sunday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,20-Jun-16,37,39,Monday
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Android - Phone,Mobile,21-Jun-16,47,48,Tuesday
