pixel_name,Device,Hour,Users
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,0,19
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,1,3
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,2,2
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,3,5
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,4,10
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,5,25
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,6,74
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,7,152
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,8,213
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,9,225
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,10,215
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,11,198
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,12,223
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,13,216
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,14,205
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,15,195
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,16,192
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,17,193
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,18,201
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,19,250
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,20,239
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,21,199
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,22,99
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Desktop,23,37
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,0,42
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,1,19
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,2,13
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,3,22
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,4,29
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,5,115
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,6,241
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,7,263
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,8,297
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,9,194
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,10,205
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,11,199
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,12,224
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,13,197
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,14,221
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,15,262
#ADV#Sky Ride#Sports#Cycling#UK#CP#,Mobile,16,379
