Partner,Partner Id,Device,Date,Users,Users Clickbacks
BMW,2643,Desktop,28-Apr-16,13,14
BMW,2643,Desktop,29-Apr-16,8,8
BMW,2643,Desktop,30-Apr-16,3,3
BMW,2643,Desktop,01-May-16,2,2
BMW,2643,Desktop,02-May-16,4,5
BMW,2643,Desktop,03-May-16,8,9
BMW,2643,Desktop,04-May-16,6,6
BMW,2643,Desktop,05-May-16,10,10
BMW,2643,Desktop,06-May-16,7,7
BMW,2643,Desktop,07-May-16,7,8
BMW,2643,Desktop,08-May-16,8,10
BMW,2643,Desktop,09-May-16,6,6
BMW,2643,Desktop,10-May-16,9,9
BMW,2643,Desktop,12-May-16,5,5
BMW,2643,Desktop,13-May-16,13,13
BMW,2643,Desktop,14-May-16,9,9
BMW,2643,Desktop,15-May-16,3,3
BMW,2643,Desktop,16-May-16,8,8
BMW,2643,Desktop,17-May-16,4,5
BMW,2643,Desktop,18-May-16,10,10
BMW,2643,Desktop,19-May-16,9,12
BMW,2643,Desktop,20-May-16,7,7
BMW,2643,Desktop,21-May-16,4,5
BMW,2643,Desktop,22-May-16,2,3
BMW,2643,Desktop,24-May-16,8,9
BMW,2643,Desktop,25-May-16,3,3
BMW,2643,Desktop,26-May-16,6,8
BMW,2643,Desktop,27-May-16,8,8
BMW,2643,Desktop,28-May-16,3,3
BMW,2643,Desktop,29-May-16,2,2
BMW,2643,Desktop,30-May-16,7,7
BMW,2643,Desktop,31-May-16,1,1
BMW,2643,Desktop,01-Jun-16,4,6
BMW,2643,Desktop,02-Jun-16,11,11
BMW,2643,Desktop,03-Jun-16,6,7
BMW,2643,Desktop,04-Jun-16,7,7
BMW,2643,Desktop,05-Jun-16,5,6
BMW,2643,Desktop,06-Jun-16,4,4
BMW,2643,Desktop,07-Jun-16,6,6
BMW,2643,Desktop,08-Jun-16,7,9
BMW,2643,Desktop,10-Jun-16,4,9
BMW,2643,Desktop,11-Jun-16,3,3
BMW,2643,Desktop,12-Jun-16,3,3
BMW,2643,Desktop,13-Jun-16,4,4
BMW,2643,Desktop,14-Jun-16,7,11
BMW,2643,Desktop,15-Jun-16,4,4
BMW,2643,Desktop,16-Jun-16,5,5
BMW,2643,Desktop,17-Jun-16,15,19
BMW,2643,Desktop,18-Jun-16,17,20
BMW,2643,Desktop,19-Jun-16,32,39
BMW,2643,Desktop,20-Jun-16,109,141
BMW,2643,Desktop,21-Jun-16,74,92
BMW,2643,Desktop,22-Jun-16,18,21
BMW,2643,Desktop,23-Jun-16,41,51
BMW,2643,Desktop,24-Jun-16,67,87
BMW,2643,Desktop,25-Jun-16,228,246
BMW,2643,Desktop,26-Jun-16,98,107
BMW,2643,Desktop,27-Jun-16,115,131
BMW,2643,Desktop,28-Jun-16,74,85
BMW,2643,Desktop,29-Jun-16,34,41
BMW,2643,Desktop,30-Jun-16,22,24
BMW,2643,Desktop,01-Jul-16,11,12
BMW,2643,Desktop,02-Jul-16,4,4
BMW,2643,Desktop,03-Jul-16,14,14
BMW,2643,Desktop,04-Jul-16,11,13
BMW,2643,Desktop,05-Jul-16,13,13
BMW,2643,Desktop,06-Jul-16,9,10
BMW,2643,Desktop,07-Jul-16,14,16
BMW,2643,Desktop,08-Jul-16,10,10
BMW,2643,Desktop,09-Jul-16,7,7
BMW,2643,Desktop,10-Jul-16,5,5
BMW,2643,Desktop,11-Jul-16,17,18
BMW,2643,Desktop,12-Jul-16,11,12
BMW,2643,Desktop,13-Jul-16,14,18
BMW,2643,Desktop,14-Jul-16,11,12
BMW,2643,Desktop,15-Jul-16,9,9
BMW,2643,Desktop,16-Jul-16,3,3
BMW,2643,Desktop,17-Jul-16,4,4
BMW,2643,Desktop,18-Jul-16,9,9
BMW,2643,Desktop,19-Jul-16,8,8
BMW,2643,Desktop,20-Jul-16,3,3
BMW,2643,Desktop,22-Jul-16,6,6
BMW,2643,Desktop,23-Jul-16,2,2
BMW,2643,Desktop,24-Jul-16,5,6
BMW,2643,Desktop,25-Jul-16,4,4
BMW,2643,Mobile (Android),28-Apr-16,1,1
BMW,2643,Mobile (Android),29-Apr-16,6,12
BMW,2643,Mobile (Android),30-Apr-16,2,2
BMW,2643,Mobile (Android),01-May-16,1,1
BMW,2643,Mobile (Android),02-May-16,1,1
BMW,2643,Mobile (Android),03-May-16,1,1
BMW,2643,Mobile (Android),05-May-16,1,1
BMW,2643,Mobile (Android),06-May-16,1,1
BMW,2643,Mobile (Android),07-May-16,2,4
BMW,2643,Mobile (Android),09-May-16,1,5
BMW,2643,Mobile (Android),10-May-16,1,1
BMW,2643,Mobile (Android),11-May-16,1,1
BMW,2643,Mobile (Android),12-May-16,1,1
BMW,2643,Mobile (Android),13-May-16,2,2
BMW,2643,Mobile (Android),14-May-16,2,2
BMW,2643,Mobile (Android),15-May-16,3,4
BMW,2643,Mobile (Android),17-May-16,1,1
BMW,2643,Mobile (Android),20-May-16,1,1
BMW,2643,Mobile (Android),24-May-16,1,1
BMW,2643,Mobile (Android),25-May-16,1,1
BMW,2643,Mobile (Android),28-May-16,1,1
BMW,2643,Mobile (Android),29-May-16,1,1
BMW,2643,Mobile (Android),02-Jun-16,1,2
BMW,2643,Mobile (Android),03-Jun-16,1,1
BMW,2643,Mobile (Android),04-Jun-16,2,3
BMW,2643,Mobile (Android),06-Jun-16,1,1
BMW,2643,Mobile (Android),07-Jun-16,2,2
BMW,2643,Mobile (Android),08-Jun-16,3,3
BMW,2643,Mobile (Android),10-Jun-16,1,1
BMW,2643,Mobile (Android),11-Jun-16,2,2
BMW,2643,Mobile (Android),12-Jun-16,1,1
BMW,2643,Mobile (Android),17-Jun-16,4,57
BMW,2643,Mobile (Android),18-Jun-16,4,153
BMW,2643,Mobile (Android),19-Jun-16,2,3
BMW,2643,Mobile (Android),20-Jun-16,4,6
BMW,2643,Mobile (Android),23-Jun-16,4,4
BMW,2643,Mobile (Android),24-Jun-16,3,3
BMW,2643,Mobile (Android),25-Jun-16,8,10
BMW,2643,Mobile (Android),26-Jun-16,6,8
BMW,2643,Mobile (Android),27-Jun-16,4,4
BMW,2643,Mobile (Android),28-Jun-16,5,9
BMW,2643,Mobile (Android),29-Jun-16,2,2
BMW,2643,Mobile (Android),01-Jul-16,2,5
BMW,2643,Mobile (Android),02-Jul-16,3,3
BMW,2643,Mobile (Android),05-Jul-16,6,8
BMW,2643,Mobile (Android),06-Jul-16,1,1
BMW,2643,Mobile (Android),07-Jul-16,1,1
BMW,2643,Mobile (Android),08-Jul-16,2,2
BMW,2643,Mobile (Android),10-Jul-16,2,2
BMW,2643,Mobile (Android),12-Jul-16,1,1
BMW,2643,Mobile (Android),13-Jul-16,1,1
BMW,2643,Mobile (Android),15-Jul-16,2,3
BMW,2643,Mobile (Android),17-Jul-16,1,1
BMW,2643,Mobile (Android),20-Jul-16,1,1
