Publisher,Publisher Key,Device,Date,Views,Shares,Clickbacks
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,28-Apr-16,21,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,29-Apr-16,23,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,30-Apr-16,23,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,01-May-16,35,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,02-May-16,35,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,03-May-16,37,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,04-May-16,22,1,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,05-May-16,30,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,06-May-16,19,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,07-May-16,24,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,08-May-16,25,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,09-May-16,38,1,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,10-May-16,23,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,11-May-16,40,1,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,12-May-16,38,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,13-May-16,31,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,14-May-16,26,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,15-May-16,26,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,16-May-16,24,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,17-May-16,29,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,18-May-16,30,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,19-May-16,23,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,20-May-16,32,0,0
BIP - PHE,jljjpl2ufbbrhpkrdckn,Android - Phone,21-May-16,24,0,0
