Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Age,18 - 24,0.6,622
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Age,25 - 34,2.26,"3,442"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Age,35 - 44,2.91,"3,349"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Age,45 - 54,2.43,"1,986"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Age,55 - 64,1.48,"1,098"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Age,65+,1.14,"1,229"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Education,> Other,1.64,"1,787"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Education,> Post Grad,1.08,"1,957"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Education,> Secondary,0.85,912
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Education,> University,1.3,"2,404"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Education,> Vocational,3.12,"2,294"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Employment Status,Employed,2.31,"5,267"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Employment Status,Student,0.85,"2,039"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Employment Status,Unemployed,1.53,586
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Gender,Female,0.71,"2,566"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Demographics,Gender,Male,1.58,"5,777"
