pixel_name,Device,Hour,Users
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMW#eCRM Aftersales Pixel,Mobile,6,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,0,113
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,1,58
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,2,37
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,3,39
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,4,43
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,5,150
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,6,809
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,7,"1,344"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,8,"1,511"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,9,"1,496"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,10,"1,427"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,11,"1,394"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,12,"1,300"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,13,"1,307"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,14,"1,227"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,15,"1,175"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,16,866
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,17,666
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,18,667
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,19,670
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,20,623
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,21,546
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,22,401
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Desktop,23,192
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,0,393
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,1,233
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,2,216
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,3,142
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,4,174
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,5,475
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,6,727
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,7,"1,036"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,8,"1,171"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,9,"1,217"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,10,"1,131"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,11,"1,180"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,12,"1,138"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,13,"1,184"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,14,"1,253"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,15,"1,353"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,16,"1,458"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,17,"1,649"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,18,"1,898"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,19,"2,018"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,20,"2,160"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,21,"1,863"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,22,"1,315"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP,Mobile,23,646
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,8,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,9,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,11,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,12,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,14,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,16,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,17,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,18,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,21,3
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Desktop,23,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Mobile,20,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch,Mobile,22,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,0,71
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,1,33
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,2,12
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,3,8
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,4,6
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,5,52
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,6,130
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,7,246
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,8,384
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,9,464
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,10,521
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,11,573
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,12,576
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,13,599
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,14,547
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,15,740
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,16,503
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,17,423
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,18,448
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,19,417
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,20,582
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,21,414
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,22,242
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Desktop,23,124
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,0,31
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,1,9
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,2,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,3,7
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,4,14
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,5,46
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,6,80
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,7,76
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,8,78
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,9,66
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,10,88
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,11,71
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,12,71
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,13,84
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,14,154
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,15,126
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,16,217
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,17,168
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,18,218
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,19,305
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,20,385
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,21,256
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,22,201
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure,Mobile,23,63
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,0,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,1,7
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,2,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,5,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,6,28
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,7,22
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,8,55
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,9,66
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,10,61
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,11,79
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,12,81
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,13,100
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,14,85
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,15,95
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,16,77
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,17,64
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,18,61
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,19,54
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,20,53
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,21,67
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,22,42
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Desktop,23,18
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,0,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,3,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,6,11
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,7,25
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,8,16
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,9,8
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,10,14
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,11,3
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,12,6
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,13,18
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,14,18
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,15,26
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,16,22
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,17,14
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,18,28
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,19,25
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,20,29
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,21,28
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,22,20
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestABrochure,Mobile,23,8
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,8,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,9,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,11,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,12,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,14,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,16,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,17,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,18,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,21,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Desktop,23,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Mobile,20,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#RequestADealerQuoteConfirmation,Mobile,22,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,0,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,1,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,3,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,5,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,6,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,7,12
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,8,20
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,9,35
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,10,30
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,11,68
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,12,50
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,13,54
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,14,34
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,15,53
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,16,33
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,17,39
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,18,42
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,19,20
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,20,46
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,21,24
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,22,22
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Desktop,23,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,0,9
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,6,3
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,8,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,9,9
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,11,6
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,12,11
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,13,10
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,14,12
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,15,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,16,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,17,6
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,18,11
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,19,8
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,20,24
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,21,14
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,22,8
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#TestDrive,Mobile,23,4
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,0,"2,464"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,1,"1,404"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,2,909
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,3,665
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,4,874
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,5,"2,074"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,6,"4,637"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,7,"9,460"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,8,"14,395"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,9,"17,105"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,10,"18,447"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,11,"19,095"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,12,"20,465"
