Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Age,18 - 24,0.61,238
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Age,25 - 34,1.84,"1,033"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Age,35 - 44,2.39,987
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Age,45 - 54,2.23,666
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Age,55 - 64,1.37,375
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Age,65+,1.38,557
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Education,Other,1.86,759
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Education,Post Grad,1.28,886
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Education,Secondary,0.56,227
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Education,University,1.65,"1,162"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Education,Vocational,1.46,397
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Employment Status,Employed,2.05,"1,772"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Employment Status,Student,0.88,809
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Employment Status,Unemployed,1.69,247
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Gender,Female,1.04,"1,437"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Gender,Male,1.23,"1,716"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Relationship Status,Co-habiting,0.67,99
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Relationship Status,Married,1.71,"1,853"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Relationship Status,Single,0.83,"1,110"
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Social Class,AB,0.45,276
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Demographics,Social Class,C1,0.54,213
