Ad Category,Strategy Type,% of Total Impressions,CTR,Conversions,Strategy Name,Funnel,Description
Auto,BESPOKE,1.73%,0.05%,"1,264",OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,CICKER,0.03%,0.08%,8,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Auto,CLICKER,0.02%,0.01%,40,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Auto,CLICKERS,0.00%,322.67%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Auto,COMSCORE,3.92%,0.03%,"1,770",DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Auto,CONVERTER,0.15%,0.05%,"1,288",CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Auto,CONVERTERS,0.33%,0.08%,"4,914",CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Auto,DOMAIN,5.37%,0.02%,796,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Auto,FOLD,4.77%,0.03%,"2,422",VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Auto,IPEXP,1.24%,0.02%,94,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Auto,KW,0.05%,0.01%,14,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Auto,LOOKALIKE,0.04%,0.01%,0,LOOKALIKE,Mid Funnel,Target new people who behave like current customers
Auto,NETWORK,23.00%,0.03%,"2,468",REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Auto,OG,13.49%,0.01%,"13,404",OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,OT,0.14%,0.01%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,PDA,0.02%,0.00%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,PO.ST,0.00%,0.00%,1,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Auto,POST,0.06%,0.07%,31,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Auto,POSTURL,0.00%,0.00%,0,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Auto,R1 INTENT,0.07%,0.01%,4,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Auto,R1CONTENT,4.99%,0.02%,766,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Auto,R1CONTENTE,0.03%,0.01%,17,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Auto,R1INTENT,0.14%,0.01%,10,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Auto,RAWCAT,0.05%,0.02%,1,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Auto,RM,8.03%,0.06%,"14,934",RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Auto,RMFILTER,5.74%,0.03%,583,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Auto,RON,3.66%,0.07%,71,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Auto,SEARCH,0.01%,0.00%,2,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Auto,SHAREGRAPH,0.01%,0.08%,24,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Auto,SUBDOMAIN,0.43%,0.02%,47,SUBDOMAIN,Mid Funnel,Targeting a bespoke whitelist of sub-domains
Auto,URL,0.80%,0.03%,223,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,USERVIEWED,0.17%,0.01%,36,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Auto,VDOMAIN,11.56%,0.09%,"12,703",VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Auto,VIEWABLE,9.97%,0.07%,"14,564",VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Business,BESPKE,0.05%,0.02%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
