Ad Category,Strategy Type,% of Total Impressions,CTR,Conversions,Strategy Name,Funnel,Description
Auto,APP,10.45%,0.61%,867,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
Auto,BESPOKE,0.00%,0.00%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,CLICKER,0.71%,0.10%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Auto,DOMAIN,24.21%,0.09%,"1,410",DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Auto,FOLD,1.94%,0.05%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Auto,IPEXP,0.01%,0.01%,0,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Auto,KW,0.03%,0.00%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Auto,LOOKALIKE,0.19%,0.04%,0,LOOKALIKE,Mid Funnel,Target new people who behave like current customers
Auto,NETWORK,38.85%,0.14%,638,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Auto,OG,9.33%,0.16%,"1,312",OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,PDA,0.00%,0.00%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,POST,0.22%,0.01%,0,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Auto,POSTURL,0.00%,0.00%,0,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Auto,R1CONTENT,0.24%,0.01%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Auto,R1INTENT,0.48%,0.04%,131,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Auto,RM,0.04%,0.01%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Auto,RON,4.54%,0.04%,77,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Auto,SHAREGRAPH,0.00%,0.14%,2,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Auto,SUBDOMAIN,0.02%,0.01%,1,SUBDOMAIN,Mid Funnel,Targeting a bespoke whitelist of sub-domains
Auto,URL,4.16%,0.05%,54,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Auto,VDOMAIN,1.88%,0.10%,14,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Auto,VIEWABLE,2.70%,0.07%,24,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Business,APP,11.43%,1.78%,0,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
Business,BESPOKE,3.74%,5.05%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Business,CLICKER,0.00%,0.13%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Business,DOMAIN,11.78%,0.88%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Business,IPEXP,0.00%,2.92%,0,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Business,NETWORK,50.45%,0.66%,0,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Business,OG,16.07%,0.64%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Business,POST,3.32%,0.24%,0,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Business,REPOST,0.27%,0.10%,0,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Business,RM,0.20%,4.39%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Business,RON,1.93%,1.81%,0,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Business,SEARCH,0.03%,0.16%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Business,SHAREGRAPH,0.11%,1.33%,0,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Business,URL,0.36%,0.05%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Business,VIEWABLE,0.32%,0.17%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Education,BESPOKE,2.99%,0.02%,41,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Education,PMP,8.67%,0.05%,156,DEAL,Upper Funnel,Targeting a specific Deal ID
Education,RON,74.00%,0.01%,860,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Education,URL,14.33%,0.06%,22,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,APP,0.55%,1.55%,0,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
Entertainment,BESPOKE,0.51%,0.45%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,BESPOKES,0.25%,0.02%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,CC,0.14%,0.04%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Entertainment,CLICKER,0.33%,1.02%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Entertainment,CLICKERS,0.06%,0.11%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Entertainment,CONTENT,0.00%,0.10%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Entertainment,CONVERTER,0.00%,0.26%,0,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Entertainment,CONVERTERS,0.00%,0.22%,0,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Entertainment,DEAL,0.52%,0.04%,0,PMP,Upper Funnel,"Targeting private market places, relevant to your campaign"
Entertainment,DOMAIN,13.96%,0.14%,27,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Entertainment,FOLD,1.53%,0.06%,1,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Entertainment,IPEXP,0.00%,0.65%,0,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Entertainment,KEYWORD,0.02%,0.03%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Entertainment,KW,0.03%,0.02%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Entertainment,LOOKALIKE,0.58%,0.02%,0,LOOKALIKE,Mid Funnel,Target new people who behave like current customers
Entertainment,NETWORK,57.67%,0.30%,0,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Entertainment,OG,0.20%,2.60%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,OT,0.01%,0.00%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,OVERLAP,0.03%,0.01%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,PAI,0.00%,0.00%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Entertainment,PMP,0.31%,0.02%,0,DEAL,Upper Funnel,Targeting a specific Deal ID
Entertainment,PO.ST,0.08%,0.03%,4,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Entertainment,POST,1.01%,0.06%,0,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Entertainment,R1 INTENDERS,0.01%,0.03%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Entertainment,R1CONTENT,2.98%,0.03%,2,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Entertainment,R1INTENT,0.02%,0.71%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Entertainment,RAWCAT,0.11%,0.03%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Entertainment,RAWREQ,0.01%,0.02%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Entertainment,REPOST,0.23%,0.19%,2,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Entertainment,RM,1.19%,0.58%,39,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Entertainment,RMFILTER,0.13%,0.11%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Entertainment,RON,7.20%,0.25%,4,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Entertainment,SEARCH,0.04%,0.04%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Entertainment,SHAREGRAPH,0.07%,0.04%,0,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Entertainment,SITE,0.09%,0.04%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Entertainment,URL,4.51%,0.08%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Entertainment,VDOMAIN,0.07%,0.15%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Entertainment,VIEWABILITY,0.03%,0.08%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Entertainment,VIEWABLE,5.52%,0.09%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Fashion,APP,2.33%,0.78%,0,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
Fashion,CLICKER,1.05%,0.26%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Fashion,DEAL,0.32%,0.02%,0,PMP,Upper Funnel,"Targeting private market places, relevant to your campaign"
Fashion,DOMAIN,8.67%,0.52%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Fashion,FOLD,9.38%,0.12%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Fashion,NETWORK,51.74%,0.24%,166,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Fashion,OG,2.67%,0.08%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Fashion,OVERLAP,2.66%,0.01%,510,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Fashion,POST,9.79%,0.02%,"7,304",PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Fashion,R1 CONTENT,3.97%,1.16%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Fashion,R1CONTENT,2.01%,0.00%,456,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Fashion,RM,0.00%,0.00%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Fashion,RMFILTER,0.55%,0.05%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Fashion,SOCIODEMO,0.00%,0.00%,0,DEMOGRAPHIC,Upper Funnel,"Targeting a demographic of Age, Gender and Income"
Fashion,URL,0.16%,0.07%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Fashion,VIEWABLE,4.70%,0.07%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Finance,BESPOKE,2.34%,0.02%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Finance,CLICKER,0.04%,0.31%,1,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Finance,CONTENT,0.32%,0.02%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Finance,CONVERTER,0.01%,0.36%,2,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Finance,DARKSOCIAL,0.00%,0.00%,0,DARKSOCIAL,Low Funnel,Targeting users that share or engage with specific content
Finance,DOMAIN,12.36%,0.09%,2,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Finance,FOLD,5.61%,0.48%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Finance,IPEXP,0.19%,0.00%,1,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Finance,KW,0.00%,0.00%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Finance,NETWORK,42.95%,0.04%,9,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Finance,OG,4.44%,0.08%,8,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Finance,PMP,0.15%,0.01%,0,DEAL,Upper Funnel,Targeting a specific Deal ID
Finance,POST,0.47%,0.22%,1,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Finance,R1CAT,0.86%,0.07%,3,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Finance,RAWREQ,0.56%,0.06%,1,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Finance,RM,0.10%,0.18%,1,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Finance,SHAREGRAPH,1.54%,0.01%,5,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Finance,URL,3.30%,0.01%,2,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Finance,USERVIEWED,21.61%,0.01%,40,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Finance,VIEWABLE,3.14%,0.08%,4,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Food & Drink,APP,4.62%,6.40%,0,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
